id,condition,scenario,support,achieve,unintended,agency1,agency2,agency3,agency4,agency5,agency6,personalpeople,politics,sex,edu,state,income,hispanic,race,suspicious,comments,notes
30,2,15,1,1,4,7,6,6,7,7,7,4,3,1,8,17,2,2,4,No,,
31,3,2,5,3,2,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
31,3,3,7,6,2,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
31,3,5,5,2,4,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
31,3,6,4,6,6,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
31,3,9,7,4,6,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
31,3,12,1,1,7,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
31,3,15,7,5,1,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
31,3,16,1,1,6,7,7,7,7,7,7,6,3,1,5,23,4,2,4,No,,
32,1,1,4,3,5,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
32,1,3,6,5,3,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
32,1,5,4,3,2,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
32,1,6,6,4,2,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
32,1,9,2,5,5,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
32,1,10,6,5,2,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
32,1,11,6,2,1,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
32,1,12,5,5,3,7,7,7,7,7,7,5,3,1,8,22,6,2,4,Not really.,None,
33,4,1,1,1,7,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
33,4,2,1,1,7,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
33,4,5,1,1,6,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
33,4,6,5,2,6,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
33,4,8,1,1,7,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
33,4,9,1,1,7,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
33,4,11,7,1,1,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
33,4,14,1,2,6,1,6,5,7,7,7,7,4,2,7,20,3,2,3,"some of the proposal's mentioned are not enforceable, so therefore they are not going to benefit anybody, and they will only cause taxes to surge",,
34,3,1,1,1,7,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
34,3,3,4,2,2,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
34,3,5,4,3,7,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
34,3,6,3,4,6,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
34,3,8,4,2,4,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
34,3,10,4,5,6,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
34,3,14,4,3,4,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
34,3,16,4,3,7,6,7,7,7,7,7,5,3,2,6,13,3,2,4,No.,Thank you!,
