"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"398","《对话》_20161225_聚焦实体经济_为中国实业代言","2016-12-28 15:01","645","5","2","31",35,86,3,1,"聚焦实体经济_为中国实业代言","http://tv.cctv.com/2016/12/25/VIDEmFpIjEkRbtwTM3eaJdyt161225.shtml 聚焦实体经济_为中国实业代言"
"399","【纪录片】赫哲族 鱼皮部落 - 消失地平线（华语）02集","2016-12-28 14:57","811","13","5","27",529,18149,3,2,"旅行
社会
文化
人文
消失地平线","一起跟随主持人的脚步，探寻即将消失的土地、 人文机制和传统习俗。
01集：av7718304"
"400","CCTV中文国际频道    走近中国_纪录电影《圆明园》","2016-12-28 14:56","256","1","1","17",50,60,0,0,"CCTV
CCTV纪录片
纪录片
1860
圆明园
纪录电影
英法联军
劫难","纪录电影《圆明园》 《圆明园》是由北京科学教育电影制片厂出品，华夏电影发行有限责任公司发行的大型纪录片。影片从意大利传教士郎世宁切入，描述了清朝皇家园林圆明园从初建到大规模扩建成旷世园林，再到英法联军对这座人间仙境的破坏、焚烧的发展历史。"
"401","IMAX纪录片《秦始皇 The First Emperor of China》全1集 英语中字 3.1G/MKV/108","2016-12-28 14:47","1689","23","2","87",313,15061,8,2,"秦始皇
IMAX
英语中字","http://www.jiluhome.cn/the-first-emperor-of-china.html 让我们回到几千年前秦始皇统治的年代，揭开许多不为人知的秘密。许多西方人都不知道秦始皇伟大的成就，如宏伟的阿房宫和让世人震惊的兵马俑。本片将重现当时荣耀恐惧，让您更加了解中国古代文化及其背后精彩的故事。"
"402","[国家地理] 罗曼诺夫家族之谜 / Mystery of the Romanovs","2016-12-28 14:44","1055","4","2","99",313,15061,3,1,"国家地理","http://www.daofire.com/movie/1996 这一件是现代史上最声名狼藉的刺杀案之一,俄国皇室罗曼诺夫家族谋杀案。这一件曾经是悬红极高的谋杀案，但是在50年来，苏联政府统治下冷却下来，现在这几宗神秘死亡事件，在法证科学家、宗教领袖和俄国的政客之间，引起激烈争论."
"403","911小布什的24小时","2016-12-28 14:28","469","1","0","9",8,9,0,2,"不错哦","国家地理 不错"
"404","【法国自然纪录片】【海洋星球】【中英双字】雅安·阿瑟斯-伯特兰执导的纪录片，由乔什·杜哈明主演","2016-12-28 14:15","972","4","5","92",5,4,1,2,"纪录片BBC
环保健康","[2012法国自然纪录片][海洋星球][576P高清][中英双字][迅雷下载] 本片旨在解释这一星球上最伟大的自然之谜，并说明人类学习与海洋和谐相处，是多么重要的一项课题。海洋星球身为人类与大自然的协调者，存在的职责是要提醒人们，应该尊重与保护我们的星球。"
"405","CCTV 纪念毛主席诞辰100周年   九十年代大型纪录片《毛泽东》","2016-12-28 14:14","848","8","3","79",50,60,6,2,"CCTV纪录片
纪录片
毛泽东
抗日战争
毛主席
解放
领袖
诞辰
新中国
辛亥","CCTV纪录片 毛泽东 纪念毛主席诞辰100周年纪录片   全面了解主席一生的革命事业
本片是采取纪实与政论相结合的方式，用典型的侧面来塑造一个真实可信、血肉丰满的领袖形象。"
"406","【荒野动物面对面】唐纳德探索纪实系列","2016-12-28 13:48","152","0","2","5",1,1,1,0,"记录片
荒野生存
野生动物保护","CCTV 在南非出生和长大的唐纳德，是世界知名的费兹西蒙斯蛇园里最年轻的工作人员。但光是捕捉、照顾和研究蛇类已满足不了他的胃口，如今唐纳德的足迹遍及全球各地，以科学的名义，追踪和研究危险动物。凭借对动物的敏锐感觉以及对刺激与探险的渴望，他将冒着生命危险投身于更伟大的事业，其研究也许有朝一日可以拯救动物和人类的生命。精彩系列专辑"
"407","【1980纪录电影】庆祝建军五十三周年（八一制片厂）","2016-12-28 12:51","351","2","0","21",10,408,0,2,"纪录片
记录片","优酷 本片记录了建军53年招待以及会首都军民举行的联欢晚会。"
"408","【国家地理】MINI Coupe 档案纪录片 生肉 CPNTV","2016-12-28 12:35","361","1","0","13",1146,7416,0,1,"陆军
海军
空军
军事
星海
CPNTV
美国军队
中国军队","https://www.youtube.com/watch?v=JRRAotStOWk  欢迎军迷朋友加群：428548296，军迷的征途是星辰大海！
欢迎动手能力强和技术宅朋友加入QQ群“黑科技术宅”，号码：560897669"
"409","【CCTV】《西藏》六集大型系列纪录片","2016-12-28 12:23","1472","11","2","151",84,1514,3,2,"文化
纪录片
西藏
cctv","http://tv.cntv.cn/videoset/VSET100252508909 该系列片是西藏与中华五千年文明血浓于水的铁证，它既是勾连西藏古今的桥梁，更是沟通汉藏文化的纽带。该片对西藏地区历史文明的演进变迁的记录和再现具备极强的政治意义和文化价值，而主创团队依托多种现代科技创意进取，在“严肃作品”的表现方式和演绎手法上大胆创新，对纪录片未来发展趋势做出了极为有益的探索。"
"410","欢迎来到魔术世界6","2016-12-28 12:15","86","0","0","8",15,106,0,0,"魔术揭秘","来自网络 喜爱魔术的人欢迎来入，禁止撕逼，剧透。 好久没有更新了，也不知道有没有苦苦等待的小伙伴，要是有的话，那就跟大家说一句抱歉了，不定期更新，谢谢大家。"
"411","【NHK】船坞的午餐 - 吃午餐啦 Lunch ON!（英语生肉）S2 07（低清）","2016-12-28 11:02","2636","18","1","43",529,18149,4,1,"社会
文化
人文
生活
美食
Lunch ON!","吃午饭啦～ 看看大家的午餐吃什么，我们会发现什么呢？
01集：av7652242，02集：av7667762，03集：av7686762，04集：av7704562，06集：av7718365"
"412","已知的宇宙 第三季【全8集】","2016-12-28 10:52","15000","84","64","1458",315,47498,34,15,"宇宙
美国
国家地理
科普纪录
科学
纪录片
科普","有你没有想过,当你身处黑洞,或进入虫洞可以实现时间旅行,你会怎样？
此系列结合最新科技信息，尖端的电脑绘图，展现我们宇宙一些最令人难以置信的方面。
本系列影片提供另一番生动视野，让大家重新审视这个原本以为已了如指掌的世界。将最尖端的科学知识，以前所未有的方式组合呈现，加上令人耳目一新的电脑绘图，以及相关的模拟说明，使得所有科学入门知识变得更加平易近人、清楚易懂，展现我们宇宙一些最令人难以置信的方面。"
"413","反式脂肪生活","2016-12-28 09:57","4540","33","20","213",179,97159,53,9,"BILIBILI正版","反式脂肪生活"
"414","【纪录片】《THE GIFT OF MUSIC》天才音乐家叶普盖尼·基辛 （Evgeny Kissin）【中文字幕】","2016-12-28 09:31","208","1","1","31",47,57,1,3,"纪录片","https://www.youtube.com/watch?v=I1z663qksiQ&amp;list=RDI1z663qksiQ#t=283 1971.10.10出生地点：苏联-俄罗斯-莫斯科职 业：钢琴演奏家被誉为“20世纪后半叶最惊人的钢琴天才”。他是一个不带任何商业性质的钢琴家。*2002年，基辛加入英国籍。"
"415","【探索频道(HD)】NASA秘密档案-第3b季第1集：外星科技【中文字幕】","2016-12-28 09:24","1851","8","4","72",227,5020,5,1,"DISCOVERY探索频道
NASA秘密档案
国际版 英语中字","TV录制片 马妮提供  Nasa's Unexplained Files (S4)#1.Plutos Stranger Things  NASA秘密档案 第3b季(1) 外星科技
《NASA秘密档案》透过太空人的第一手目击描述，搭配NASA档案库的真实任务影片，深入探索NASA最具争议的任务背后的谜团，揭露以工程成就和人类耐力写下的精采故事。令人屏息的画面和电脑成像呈现这些探索太阳系的旅程，以及许多NASA知名任务中神秘未解的目击事件。
***EPG节目表只注明第1集,有说是第4季，也有用3b季"
"416","【纪录片】从纳粹手中救出的孩子们【720p】【双语特效字幕】【纪录片之家字幕组】","2016-12-28 09:11","15000","501","416","2405",201,160062,703,173,"温顿勋爵
特效字幕
纪录片之家字幕组
二战
纳粹
犹太人","@纪录片之家字幕组 二战前夕，温顿是伦敦的一个股票交易员，途经捷克时，温顿发现一大批被纳粹扣留的犹太儿童。他游说德国军方放过他们，并交给他运往英国，救助工作危险而艰辛，最终他动用各种关系，用8列火车救出了669个孩子，并将这个秘密保守了半个世纪；而孩子的父母，很多都未能活着走出集中营。

纪录片之家字幕组译制"
"417","[HD]拿破仑侵俄战争I 01：入侵","2016-12-28 04:38","1339","2","4","52",14,278,3,1,"战争
军事
历史
纪录片","CCTV 本片为第一季4集系列，拿破仑侵俄战争I 01：入侵（1812卫国战争）"
"418","【传记】【英字】沃尔特·惠特曼 Walt.Whitman【美国文学】","2016-12-28 01:56","129","0","0","26",36,178,0,1,"文学
诗歌
传记
美国文学
Walter Whitman
沃尔特·惠特曼
惠特曼
草叶集","【PBS】画质渣 沃尔特·惠特曼（Walter Whitman，1819.5.31－1892.3.26），美国诗人、散文家、新闻工作者及人文主义者，代表作《草叶集》。"
"419","CCTV科教频道   探索发现   纪录片《圆明园》 全五集","2016-12-28 00:48","842","3","4","76",50,60,5,2,"CCTV
CCTV纪录片
纪录片
1860
圆明园
CCTV10
英法联军","CCTV科教频道   探索发现   纪录片《圆明园》 全五集     雍正、乾隆、嘉庆、道光、咸丰五朝皇帝，都曾长年居住在圆明园，并于此举行朝会，处理政事。它与紫禁城共同构成当时的全国政治中心，故为名副其实的御园。
    圆明园曾以其宏大的地域规模、杰出的营造技艺、精美的建筑景群、丰富的文化收藏和博大精深的民族文化内涵而享誉于世，被誉为“一切造园艺术的典范”和“万园之园”。不幸的是，这一世界名园在历史上经历了无数次毁灭和劫掠，一代名园最终沦为一片废墟。在血与火的洗礼中，圆明园犹如一部中国近代史"
"420","高盛统治世界","2016-12-28 00:16","1117","2","5","78",8,9,1,5,"不错哦","凤凰大视野 不错！！！"
"421","【北京卫视】跨国追踪湄公河惨案幕后元凶","2016-12-27 23:29","1053","13","4","40",22,85,12,0,"北京卫视
湄公河惨案","秒拍 北京卫视《档案》。
纪录片《跨国追踪湄公河惨案幕后元凶》纪录了湄公河惨案的细节，及追捕幕后元凶糯康武装贩毒集团的过程，看完才觉得电影远没有真实案例震惊和惨烈。时长39分钟左右。"
"422","CCTV综合频道 纪录片 《毛泽东1949》 第二集","2016-12-27 23:02","242","1","1","12",50,60,0,0,"CCTV纪录片
纪录片
开国大典
毛主席
1949
解放
毛泽东
五星红旗
新中国","CCTV  建国60周年献礼 《毛泽东1949》由河北省委宣传部与中央档案馆、中央电视台联合摄制，是为庆祝中华人民共和国成立60周年而推出的献礼片之一。该片以毛泽东在1949年的活动为主要内容，通过生动的历史细节，表现了毛泽东超凡的个人魅力与领导气质，向人们展示了一个伟大领袖在历史重要关头如何决策和部署，继而全面反映新中国建立前后的重大历史事件。"
"423","【纪录片】【英字】泰戈尔 Rabindranath Tagore (1961)【萨蒂亚吉特·雷伊】【电影·印度文学】","2016-12-27 22:58","163","0","0","31",36,178,0,1,"传记
文学
泰戈尔
诗歌
纪录片
飞鸟集
雷伊
萨蒂亚吉特·雷伊
拉宾德拉纳特·泰戈尔
印度文学","【网络】 这部影片不仅是泰戈尔的一部传记片，更是世界电影大师萨蒂亚吉特·雷伊少有的纪录之作。
萨蒂亚吉特·雷伊，印度现实主义电影大师，也是公认的二十世纪最伟大的电影大师之一。他的影片最大的特色是包含一种舒缓的诗意和被这种诗意包裹的悲剧感，多反映印度的社会问题和政治问题，寓意深刻、见解独到、手法细腻、抒情优美，而且具有强烈的民族风格。
拉宾德拉纳特·泰戈尔（1861年—1941年），印度著名诗人、文学家、哲学家。1913年，他凭借《吉檀迦利》成为第一位获得诺贝尔文学奖的亚洲人。"
"424","【公视】【720】《山猫要回家》（大型喵星人）","2016-12-27 22:51","674","8","3","23",72,5762,8,0,"喵星人","公视 讲述一名斯洛伐克国家公园护林员米勒迈达和一对小猞猁兄妹的友谊，并最终送他们回归山林的故事。"
